Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C4, C5, C6",0603,5,100nF,C14663
"C10, C12, C3, C7",0805,4,10uF,C15850
"C11, C8, C9",CP_EIA-6032-15_Kemet-U_Pad2.25x2.35mm_HandSolder,3,220uF,C8023
C2,0603,1,12pF,C38523
"D1, D2",D_SOD-123,2,D_Schottky,C8598
D3,0805,1,LED,n/a
F1,1206,1,500mA Hold,C369160
J1,DSUB-25_Male_Vertical_Small Courtyard,1,DB25_Plug,D25P24B4PA00LF
J2,microsd_molex_1051620001,1,Micro_SD_Card_Det1,n/a
"L1, L2",0603,2,Ferrite_Bead_Small,C1002
"R1, R20, R4, R5",0603,4,1k,C21190
"R10, R11",1206,2,10,C17903
"R12, R13, R2",0603,3,110,C22781
R15,0603,1,51,C23197
"R16, R17, R18, R19, R6, R7, R9",0603,7,4k7,C23162
"RN1, RN2",R_Array_Convex_8x0602,2,100,C695200
RN3,R_Array_Convex_4x0603,1,4k7,C327044
"U1, U3",SSOP_TSSOP-14_4.4x5mm_Pitch0.65mm_PCBWay-MaskClearance0.22mm,2,74LVT125,C7042
"U2, U4",SSOP_TSSOP-20_5.3x7.2mm_P0.65mm,2,74LVT245,C7057
U5,SOT-23-5,1,TLV75728PDBVR,C2863639
U6,RPi_Pico_W_SMD headers,1,Pico W,N/A
